variable,VARNUM,Merged1996_97,Merged1997_98,Merged1998_99,Merged1999_00,Merged2000_01,Merged2001_02,Merged2002_03,Merged2003_04,Merged2004_05,Merged2005_06,Merged2006_07,Merged2007_08,Merged2008_09,Merged2009_10,Merged2010_11,Merged2011_12,Merged2012_13,Merged2013_14,Merged2014_15,Merged2015_16,Merged2016_17,Merged2017_18,Merged2018_19,Merged2019_20,Merged2020_21,Merged2021_22,Most_recent,Drawn_From
LO_INC_COMP_ORIG_YR4_RT,820,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_COMP_4YR_TRANS_YR4_RT,821,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_COMP_2YR_TRANS_YR4_RT,822,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_WDRAW_ORIG_YR4_RT,823,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_WDRAW_4YR_TRANS_YR4_RT,824,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_WDRAW_2YR_TRANS_YR4_RT,825,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_ENRL_ORIG_YR4_RT,826,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_ENRL_4YR_TRANS_YR4_RT,827,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_ENRL_2YR_TRANS_YR4_RT,828,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_UNKN_ORIG_YR4_RT,829,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_UNKN_4YR_TRANS_YR4_RT,830,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
LO_INC_UNKN_2YR_TRANS_YR4_RT,831,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_DEATH_YR4_RT,832,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_COMP_ORIG_YR4_RT,833,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_COMP_4YR_TRANS_YR4_RT,834,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_COMP_2YR_TRANS_YR4_RT,835,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_WDRAW_ORIG_YR4_RT,836,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_WDRAW_4YR_TRANS_YR4_RT,837,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_WDRAW_2YR_TRANS_YR4_RT,838,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_ENRL_ORIG_YR4_RT,839,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_ENRL_4YR_TRANS_YR4_RT,840,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_ENRL_2YR_TRANS_YR4_RT,841,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
MD_INC_UNKN_ORIG_YR4_RT,842,NULL,NULL,NULL,NULL,NSLDS AY1996-97 cohort measured in AY2000-01,NSLDS AY1997-98 cohort measured in AY2001-02,NSLDS AY1998-99 cohort measured in AY2002-03,NSLDS AY1999-00 cohort measured in AY2003-04,NSLDS AY2000-01 cohort measured in AY2004-05,NSLDS AY2001-02 cohort measured in AY2005-06,NSLDS AY2002-03 cohort measured in AY2006-07,NSLDS AY2003-04 cohort measured in AY2007-08,NSLDS AY2004-05 cohort measured in AY2008-09,NSLDS AY2005-06 cohort measured in AY2009-10,NSLDS AY2006-07 cohort measured in AY2010-11,NSLDS AY2007-08 cohort measured in AY2011-12,NSLDS AY2008-09 cohort measured in AY2012-13,NSLDS AY2009-10 cohort measured in AY2013-14,NSLDS AY2010-11 cohort measured in AY2014-15,NSLDS AY2011-12 cohort measured in AY2015-16,NSLDS AY2012-13 cohort measured in AY2016-17,NSLDS AY2013-14 cohort measured in AY2017-18,NSLDS AY2014-15 cohort measured in AY2018-19,NSLDS AY2015-16 cohort measured in AY2019-20,NULL,NULL,NSLDS AY2015-16 cohort measured in AY2019-20,2019_20
